id,title,audio_path,duration_sec,leading_silence_sec,trailing_silence_sec,max_internal_gap_sec,flags,notes
wrstblmt_20150409_103518,Wolves howling - three distinct voices from an individual followed by group chorus,highlights/audio/MAMMALS/WRSTBLMT_20150409_103518 Wolves howling - three distinct voices from an individual followed by group chorus.mp3,109.0,0.0,0.0,0.0,,
wrstblmt_20150429_225402,clear Wolves howling,highlights/audio/MAMMALS/WRSTBLMT_20150429_225402 clear Wolves howling.mp3,79.0,0.0,0.255,1.138,,
wrstblmt_20170128_072543,excellent wolf pack howling - beautiful spectrogram,highlights/audio/MAMMALS/WRSTBLMT_20170128_072543 excellent wolf pack howling - beautiful spectrogram - BANDPASS 100 - 4000 Hz AMPLIFY +8 dBFS.mp3,90.385,0.255,3.053,3.553,trailing|internal_gap,trailing silence 3.05s; internal gap 3.55s
wrstblmt_20170204_124537,clear solitary wolf howling occasional background group,highlights/audio/MAMMALS/WRSTBLMT_20170204_124537 clear solitary wolf howling occasional background group BANDPASS 200 - 2500 Hz AMPLIFY +15 dBFS.mp3,304.044,0.255,0.0,21.606,internal_gap,internal gap 21.61s
wrstblmt_20170204_124537-mp3,clear solitary wolf howling occasional background group,highlights/audio/MAMMALS/WRSTBLMT_20170204_124537 clear solitary wolf howling occasional background group.mp3,306.0,0.046,0.0,0.325,,
wrstblmt_20170211_002212,solitary wolf howl leads into group howling,highlights/audio/MAMMALS/WRSTBLMT_20170211_002212 solitary wolf howl leads into group howling.mp3,160.0,0.104,0.0,0.395,,
wrstblmt_20170322_201312,"clear solitary wolf howling, vocal cracking","highlights/audio/MAMMALS/WRSTBLMT_20170322_201312 clear solitary wolf howling, vocal cracking.mp3",68.0,0.0,0.0,0.0,,
wrstcopa_20160313_014852,solitary wolf howl very clear,highlights/audio/MAMMALS/WRSTCOPA_20160313_014852 solitary wolf howl very clear.mp3,55.741,0.255,3.599,7.384,trailing|internal_gap,trailing silence 3.60s; internal gap 7.38s
wrsttala_20160229_204005,clear group wolf howls,highlights/audio/MAMMALS/WRSTTALA_20160229_204005 clear group wolf howls TRIM.mp3,43.369,0.0,0.0,0.0,,
wrsttala_20160401_010659,relatively clear pair of wolves howling with reverberation,highlights/audio/MAMMALS/WRSTTALA_20160401_010659 relatively clear pair of wolves howling with reverberation TRIM AMPLIFY +10dB.mp3,42.915,0.0,0.0,0.0,,
